|Index|Distance|Velocity|
|224|775.114|2960.86|
|225|790.021|3001.84|
|226|805.133|3043.16|
|227|820.453|3084.82|
|228|835.982|3126.82|
|229|851.722|3169.15|
|230|867.674|3211.83|
|231|883.841|3254.84|
|232|900.223|3298.2|
|233|916.823|3341.89|
|234|933.643|3385.93|
|235|950.683|3430.31|
|236|967.946|3475.03|
|237|985.434|3520.1|
|238|1003.15|3565.51|
|239|1021.09|3611.27|
|240|1039.26|3657.37|
|241|1057.66|3703.82|
|242|1076.3|3750.62|
|243|1095.17|3797.76|
|244|1114.28|3845.26|
|245|1133.62|3893.11|
|246|1153.21|3941.3|
|247|1173.04|3989.85|
|248|1193.11|4038.75|
|249|1213.43|4088|
|250|1233.99|4137.6|
|251|1254.8|4187.56|
|252|1275.87|4237.87|
|253|1297.16|4288.51|
|254|1318.73|4339.53|
|255|1340.55|4390.91|
|256|1362.64|4442.65|
|257|1384.98|4494.75|
|258|1407.58|4547.21|
|259|1430.45|4600.03|
|260|1453.59|4653.2|
|261|1476.98|4706.74|
|262|1500.65|4760.64|
|263|1524.59|4814.9|
|264|1548.8|4869.53|
|265|1573.29|4924.52|
|266|1598.05|4979.88|
|267|1623.09|5035.6|
|268|1648.38|5091.65|
|269|1673.98|5148.11|
|270|1699.86|5204.93|
|271|1726.03|5262.12|
|272|1752.49|5319.68|
|273|1779.23|5377.6|
|274|1806.26|5435.9|
|275|1833.59|5494.57|
|276|1861.21|5553.62|
|277|1889.13|5613.03|
|278|1917.34|5672.82|
|279|1945.85|5732.98|
|280|1974.67|5793.52|
|281|2003.79|5854.43|
|282|2033.22|5915.72|
|283|2062.92|5977.35|
|284|2092.96|6039.39|
|285|2123.31|6101.81|
|286|2153.98|6164.61|
|287|2184.96|6227.79|
|288|2216.26|6291.35|
|289|2247.87|6355.29|
|290|2279.81|6419.62|
|291|2312.07|6484.32|
|292|2344.65|6549.41|
|293|2377.56|6614.89|
|294|2410.8|6680.75|
|295|2444.37|6746.99|
|296|2478.27|6813.62|
|297|2512.51|6880.64|
|298|2547.08|6948.05|
|299|2581.99|7015.84|
|300|2617.24|7084.02|
|301|2652.83|7152.59|
|302|2688.77|7221.56|
|303|2725.05|7290.91|
|304|2761.68|7360.66|
|305|2798.65|7430.8|
|306|2835.98|7501.33|
|307|2873.67|7572.26|
|308|2911.71|7643.58|
|309|2950.1|7715.29|
|310|2988.86|7787.41|
|311|3027.98|7859.92|
|312|3067.57|7932.94|
|313|3107.42|8006.25|
|314|3147.63|8079.95|
|315|3188.22|8154.06|
|316|3229.17|8228.56|
|317|3270.5|8303.47|
|318|3312.21|8378.78|
|319|3354.29|8454.49|
|320|3396.75|8530.61|
|321|3439.6|8607.12|
|322|3482.83|8684.05|
|323|3526.44|8761.38|
|324|3570.44|8839.11|
|325|3614.83|8917.26|
|326|3659.61|8995.81|
|327|3704.78|9074.76|
|328|6.40226e+298|1.#INF|
|329|-8.56729e+123|-8.56729e+123|
|330|-8.56729e+123|-8.56729e+123|
